Label,Index
"aln",1
"ptm",2
"gold",3
"norite",4
"cobalt",5
"ironstone",6
"ocr",7
"iron ore",8
"zinc",9
"tourmaline",10
"silica sand",11
"geothermal energy",12
"gth",13
"li",14
"garnet",15
"gravel",16
"beryllium",17
"ta",18
"asbestos",19
"slate",20
"pegmatite",21
"barite",22
"bismuth",23
"tungsten",24
"rhyolite",25
"silver",26
"rutile",27
"chiastolite",28
"molybdenum",29
"trn",30
"carphosiderite",31
"topaz",32
"sand",33
"clay",34
"trq",35
"jade",36
"alunite",37
"allanite",38
"shell grit",39
"magnesite",40
"antimony",41
"lead",42
"calcrete",43
"sulphur",44
"siltstone",45
"schist",46
"amethyst",47
"calcite",48
"ree",49
"sapphire",50
"sio2",51
"thorium",52
"gnss",53
"dolomite",54
"ochre",55
"opal",56
"uranium",57
"micaceous hematite",58
"w",59
"garn",60
"copper",61
"limestone",62
"halloysite",63
"epsomite",64
"celestite",65
"pot",66
"amazonite",67
"brl",68
"feldspar",69
"arsenic",70
"chromium",71
"mercury",72
"monazite",73
"oil shale",74
"gypsum",75
"heavy minerals",76
"gabbro",77
"tantalum",78
"lime sand",79
"vermiculite",80
"rare earths",81
"cali",82
"radium",83
"metasiltstone",84
"mslt",85
"cyp",86
"nickel",87
"gas",88
"basalt",89
"mhem",90
"fest",91
"pozzolan (volcanic ash)",92
"ruby",93
"mica",94
"ilmenite",95
"sgrt",96
"gneiss",97
"phosphate",98
"graphite",99
"magnesium",100
"iron",101
"wollastonite",102
"agate",103
"marble",104
"aluminium",105
"ab",106
"palygorskite",107
"albite",108
"fluorite",109
"titanium",110
"diamond",111
"quartzite",112
"diatomite",113
"amphibolite",114
"sis",115
"sandstone",116
"s",117
"beryl",118
"tin",119
"dolerite",120
"granite",121
"u3o8",122
"quartz",123
"chrysoprase",124
"sillimanite",125
"scholzite",126
"peat",127
"shale",128
"uranium oxide",129
"kaolin",130
"npt",131
"feld",132
"kyanite",133
"vanadium",134
"manganese",135
"coal",136
"platinoids",137
"evaporites",138
"corundum",139
"talc",140
"andalusite",141
"silica",142
"salt",143
